xmin	xmax	ymin	ymax	key	clickSelects	showSelected1
-0.5	0.5	-0.3	0.3	1	1	0
-0.5	0.5	-0.3	0.3	1	1	1
-1	0	-1.3	-0.7	2	2	1
0	1	-1.3	-0.7	3	3	1
-0.5	0.5	-0.3	0.3	1	1	2
-1	0	-1.3	-0.7	2	2	2
0	1	-1.3	-0.7	3	3	2
-0.5	0.5	-2.3	-1.7	4	4	2
0.5	1.5	-2.3	-1.7	5	5	2
-0.5	0.5	-0.3	0.3	1	1	3
-1	0	-1.3	-0.7	2	2	3
0	1	-1.3	-0.7	3	3	3
-1.11022302462516e-16	1	-2.3	-1.7	4	4	3
1	2	-2.3	-1.7	5	5	3
-2	-1	-2.3	-1.7	6	6	3
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	3
-0.5	0.5	-0.3	0.3	1	1	4
-1	0	-1.3	-0.7	2	2	4
0	1	-1.3	-0.7	3	3	4
-1.11022302462516e-16	1	-2.3	-1.7	4	4	4
1	2	-2.3	-1.7	5	5	4
-2	-1	-2.3	-1.7	6	6	4
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	4
-2.5	-1.5	-3.3	-2.7	8	8	4
-1.5	-0.5	-3.3	-2.7	9	9	4
-0.5	0.5	-0.3	0.3	1	1	5
-1	0	-1.3	-0.7	2	2	5
0	1	-1.3	-0.7	3	3	5
-1.11022302462516e-16	1	-2.3	-1.7	4	4	5
1	2	-2.3	-1.7	5	5	5
-2	-1	-2.3	-1.7	6	6	5
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	5
-3	-2	-3.3	-2.7	8	8	5
-2	-1	-3.3	-2.7	9	9	5
-1	-2.22044604925031e-16	-3.3	-2.7	10	10	5
-2.22044604925031e-16	1	-3.3	-2.7	11	11	5
-0.5	0.5	-0.3	0.3	1	1	6
-1	0	-1.3	-0.7	2	2	6
0	1	-1.3	-0.7	3	3	6
-1.11022302462516e-16	1	-2.3	-1.7	4	4	6
1	2	-2.3	-1.7	5	5	6
-2	-1	-2.3	-1.7	6	6	6
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	6
-3	-2	-3.3	-2.7	8	8	6
-2	-1	-3.3	-2.7	9	9	6
-1	-2.22044604925031e-16	-3.3	-2.7	10	10	6
-2.22044604925031e-16	1	-3.3	-2.7	11	11	6
-2.5	-1.5	-4.3	-3.7	12	12	6
-1.5	-0.5	-4.3	-3.7	13	13	6
-0.5	0.5	-0.3	0.3	1	1	7
-1	0	-1.3	-0.7	2	2	7
0	1	-1.3	-0.7	3	3	7
-1.11022302462516e-16	1	-2.3	-1.7	4	4	7
1	2	-2.3	-1.7	5	5	7
-2	-1	-2.3	-1.7	6	6	7
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	7
-3	-2	-3.3	-2.7	8	8	7
-2	-1	-3.3	-2.7	9	9	7
-1	-2.22044604925031e-16	-3.3	-2.7	10	10	7
-2.22044604925031e-16	1	-3.3	-2.7	11	11	7
-2.5	-1.5	-4.3	-3.7	12	12	7
-1.5	-0.5	-4.3	-3.7	13	13	7
-2	-1	-5.3	-4.7	14	14	7
-1	0	-5.3	-4.7	15	15	7
