xmin	xmax	ymin	ymax	key	clickSelects	showSelected1
-0.5	0.5	-0.3	0.3	1	1	8
-1	0	-1.3	-0.7	2	2	8
0	1	-1.3	-0.7	3	3	8
-1.11022302462516e-16	1	-2.3	-1.7	4	4	8
1	2	-2.3	-1.7	5	5	8
-2	-1	-2.3	-1.7	6	6	8
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	8
-3	-2	-3.3	-2.7	8	8	8
-2	-1	-3.3	-2.7	9	9	8
-1	-2.22044604925031e-16	-3.3	-2.7	10	10	8
-2.22044604925031e-16	1	-3.3	-2.7	11	11	8
-2.5	-1.5	-4.3	-3.7	12	12	8
-1.5	-0.5	-4.3	-3.7	13	13	8
-2	-1	-5.3	-4.7	14	14	8
-1	0	-5.3	-4.7	15	15	8
-1.5	-0.5	-6.3	-5.7	16	16	8
-0.5	0.5	-6.3	-5.7	17	17	8
-0.5	0.5	-0.3	0.3	1	1	9
-1	0	-1.3	-0.7	2	2	9
0	1	-1.3	-0.7	3	3	9
-1.11022302462516e-16	1	-2.3	-1.7	4	4	9
1	2	-2.3	-1.7	5	5	9
-2	-1	-2.3	-1.7	6	6	9
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	9
-3	-2	-3.3	-2.7	8	8	9
-2	-1	-3.3	-2.7	9	9	9
-1	-2.22044604925031e-16	-3.3	-2.7	10	10	9
-2.22044604925031e-16	1	-3.3	-2.7	11	11	9
-2	-1	-4.3	-3.7	12	12	9
-1	0	-4.3	-3.7	13	13	9
-1.5	-0.5	-5.3	-4.7	14	14	9
-0.5	0.5	-5.3	-4.7	15	15	9
-1	0	-6.3	-5.7	16	16	9
0	1	-6.3	-5.7	17	17	9
-4	-3	-4.3	-3.7	18	18	9
-3	-2	-4.3	-3.7	19	19	9
-0.5	0.5	-0.3	0.3	1	1	10
-1	0	-1.3	-0.7	2	2	10
0	1	-1.3	-0.7	3	3	10
-1.11022302462516e-16	1	-2.3	-1.7	4	4	10
1	2	-2.3	-1.7	5	5	10
-2	-1	-2.3	-1.7	6	6	10
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	10
-3.5	-2.5	-3.3	-2.7	8	8	10
-2.5	-1.5	-3.3	-2.7	9	9	10
-1.5	-0.5	-3.3	-2.7	10	10	10
-0.5	0.5	-3.3	-2.7	11	11	10
-2.5	-1.5	-4.3	-3.7	12	12	10
-1.5	-0.5	-4.3	-3.7	13	13	10
-2	-1	-5.3	-4.7	14	14	10
-1	0	-5.3	-4.7	15	15	10
-1.5	-0.5	-6.3	-5.7	16	16	10
-0.5	0.5	-6.3	-5.7	17	17	10
-4.5	-3.5	-4.3	-3.7	18	18	10
-3.5	-2.5	-4.3	-3.7	19	19	10
0.5	1.5	-3.3	-2.7	20	20	10
1.5	2.5	-3.3	-2.7	21	21	10
-0.5	0.5	-0.3	0.3	1	1	11
-1	0	-1.3	-0.7	2	2	11
0	1	-1.3	-0.7	3	3	11
-1.11022302462516e-16	1	-2.3	-1.7	4	4	11
1	2	-2.3	-1.7	5	5	11
-2	-1	-2.3	-1.7	6	6	11
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	11
-3.5	-2.5	-3.3	-2.7	8	8	11
-2.5	-1.5	-3.3	-2.7	9	9	11
-1.5	-0.5	-3.3	-2.7	10	10	11
-0.5	0.5	-3.3	-2.7	11	11	11
-2.5	-1.5	-4.3	-3.7	12	12	11
-1.5	-0.5	-4.3	-3.7	13	13	11
-2	-1	-5.3	-4.7	14	14	11
-1	0	-5.3	-4.7	15	15	11
-1.5	-0.5	-6.3	-5.7	16	16	11
-0.5	0.5	-6.3	-5.7	17	17	11
-4.5	-3.5	-4.3	-3.7	18	18	11
-3.5	-2.5	-4.3	-3.7	19	19	11
0.5	1.5	-3.3	-2.7	20	20	11
1.5	2.5	-3.3	-2.7	21	21	11
1	2	-4.3	-3.7	22	22	11
2	3	-4.3	-3.7	23	23	11
-0.5	0.5	-0.3	0.3	1	1	12
-1	0	-1.3	-0.7	2	2	12
0	1	-1.3	-0.7	3	3	12
-1.11022302462516e-16	1	-2.3	-1.7	4	4	12
1	2	-2.3	-1.7	5	5	12
-2	-1	-2.3	-1.7	6	6	12
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	12
-4	-3	-3.3	-2.7	8	8	12
-3	-2	-3.3	-2.7	9	9	12
-2	-1	-3.3	-2.7	10	10	12
-1	-6.66133814775094e-16	-3.3	-2.7	11	11	12
-3	-2	-4.3	-3.7	12	12	12
-2	-1	-4.3	-3.7	13	13	12
-2.5	-1.5	-5.3	-4.7	14	14	12
-1.5	-0.5	-5.3	-4.7	15	15	12
-2	-1	-6.3	-5.7	16	16	12
-1	0	-6.3	-5.7	17	17	12
-5	-4	-4.3	-3.7	18	18	12
-4	-3	-4.3	-3.7	19	19	12
-3.33066907387547e-16	1	-3.3	-2.7	20	20	12
1	2	-3.3	-2.7	21	21	12
0.5	1.5	-4.3	-3.7	22	22	12
1.5	2.5	-4.3	-3.7	23	23	12
2	3	-3.3	-2.7	24	24	12
3	4	-3.3	-2.7	25	25	12
-0.5	0.5	-0.3	0.3	1	1	13
-1	0	-1.3	-0.7	2	2	13
0	1	-1.3	-0.7	3	3	13
-1.11022302462516e-16	1	-2.3	-1.7	4	4	13
1	2	-2.3	-1.7	5	5	13
-2	-1	-2.3	-1.7	6	6	13
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	13
-4	-3	-3.3	-2.7	8	8	13
-3	-2	-3.3	-2.7	9	9	13
-2	-1	-3.3	-2.7	10	10	13
-1	-6.66133814775094e-16	-3.3	-2.7	11	11	13
-3	-2	-4.3	-3.7	12	12	13
-2	-1	-4.3	-3.7	13	13	13
-2	-1	-5.3	-4.7	14	14	13
-1	0	-5.3	-4.7	15	15	13
-1.5	-0.5	-6.3	-5.7	16	16	13
-0.5	0.5	-6.3	-5.7	17	17	13
-5	-4	-4.3	-3.7	18	18	13
-4	-3	-4.3	-3.7	19	19	13
-3.33066907387547e-16	1	-3.3	-2.7	20	20	13
1	2	-3.3	-2.7	21	21	13
0.5	1.5	-4.3	-3.7	22	22	13
1.5	2.5	-4.3	-3.7	23	23	13
2	3	-3.3	-2.7	24	24	13
3	4	-3.3	-2.7	25	25	13
-4	-3	-5.3	-4.7	26	26	13
-3	-2	-5.3	-4.7	27	27	13
-0.5	0.5	-0.3	0.3	1	1	14
-1	0	-1.3	-0.7	2	2	14
0	1	-1.3	-0.7	3	3	14
-1.11022302462516e-16	1	-2.3	-1.7	4	4	14
1	2	-2.3	-1.7	5	5	14
-2	-1	-2.3	-1.7	6	6	14
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	14
-4	-3	-3.3	-2.7	8	8	14
-3	-2	-3.3	-2.7	9	9	14
-2	-1	-3.3	-2.7	10	10	14
-1	-6.66133814775094e-16	-3.3	-2.7	11	11	14
-3	-2	-4.3	-3.7	12	12	14
-2	-1	-4.3	-3.7	13	13	14
-1.83333333333333	-0.833333333333334	-5.3	-4.7	14	14	14
-0.833333333333333	0.166666666666667	-5.3	-4.7	15	15	14
-1.33333333333333	-0.333333333333333	-6.3	-5.7	16	16	14
-0.333333333333333	0.666666666666667	-6.3	-5.7	17	17	14
-5	-4	-4.3	-3.7	18	18	14
-4	-3	-4.3	-3.7	19	19	14
-3.33066907387547e-16	1	-3.3	-2.7	20	20	14
1	2	-3.3	-2.7	21	21	14
0.5	1.5	-4.3	-3.7	22	22	14
1.5	2.5	-4.3	-3.7	23	23	14
2	3	-3.3	-2.7	24	24	14
3	4	-3.3	-2.7	25	25	14
-3.83333333333333	-2.83333333333333	-5.3	-4.7	26	26	14
-2.83333333333333	-1.83333333333333	-5.3	-4.7	27	27	14
-5.83333333333333	-4.83333333333333	-5.3	-4.7	28	28	14
-4.83333333333333	-3.83333333333333	-5.3	-4.7	29	29	14
-0.5	0.5	-0.3	0.3	1	1	15
-1	0	-1.3	-0.7	2	2	15
0	1	-1.3	-0.7	3	3	15
-1.11022302462516e-16	1	-2.3	-1.7	4	4	15
1	2	-2.3	-1.7	5	5	15
-2	-1	-2.3	-1.7	6	6	15
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	15
-4	-3	-3.3	-2.7	8	8	15
-3	-2	-3.3	-2.7	9	9	15
-2	-1	-3.3	-2.7	10	10	15
-1	-6.66133814775094e-16	-3.3	-2.7	11	11	15
-3	-2	-4.3	-3.7	12	12	15
-2	-1	-4.3	-3.7	13	13	15
-1.83333333333333	-0.833333333333334	-5.3	-4.7	14	14	15
-0.833333333333333	0.166666666666667	-5.3	-4.7	15	15	15
-1.33333333333333	-0.333333333333333	-6.3	-5.7	16	16	15
-0.333333333333333	0.666666666666667	-6.3	-5.7	17	17	15
-5	-4	-4.3	-3.7	18	18	15
-4	-3	-4.3	-3.7	19	19	15
-3.33066907387547e-16	1	-3.3	-2.7	20	20	15
1	2	-3.3	-2.7	21	21	15
0.5	1.5	-4.3	-3.7	22	22	15
1.5	2.5	-4.3	-3.7	23	23	15
2	3	-3.3	-2.7	24	24	15
3	4	-3.3	-2.7	25	25	15
-3.83333333333333	-2.83333333333333	-5.3	-4.7	26	26	15
-2.83333333333333	-1.83333333333333	-5.3	-4.7	27	27	15
-5.83333333333333	-4.83333333333333	-5.3	-4.7	28	28	15
-4.83333333333333	-3.83333333333333	-5.3	-4.7	29	29	15
-5.33333333333333	-4.33333333333333	-6.3	-5.7	30	30	15
-4.33333333333333	-3.33333333333333	-6.3	-5.7	31	31	15
-0.5	0.5	-0.3	0.3	1	1	16
-1	0	-1.3	-0.7	2	2	16
0	1	-1.3	-0.7	3	3	16
-1.11022302462516e-16	1	-2.3	-1.7	4	4	16
1	2	-2.3	-1.7	5	5	16
-2	-1	-2.3	-1.7	6	6	16
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	16
-4	-3	-3.3	-2.7	8	8	16
-3	-2	-3.3	-2.7	9	9	16
-2	-1	-3.3	-2.7	10	10	16
-1	-6.66133814775094e-16	-3.3	-2.7	11	11	16
-3.25	-2.25	-4.3	-3.7	12	12	16
-2.25	-1.25	-4.3	-3.7	13	13	16
-2.08333333333333	-1.08333333333333	-5.3	-4.7	14	14	16
-1.08333333333333	-0.0833333333333337	-5.3	-4.7	15	15	16
-1.58333333333333	-0.583333333333334	-6.3	-5.7	16	16	16
-0.583333333333334	0.416666666666666	-6.3	-5.7	17	17	16
-5.25	-4.25	-4.3	-3.7	18	18	16
-4.25	-3.25	-4.3	-3.7	19	19	16
-3.33066907387547e-16	1	-3.3	-2.7	20	20	16
1	2	-3.3	-2.7	21	21	16
0.75	1.75	-4.3	-3.7	22	22	16
1.75	2.75	-4.3	-3.7	23	23	16
2	3	-3.3	-2.7	24	24	16
3	4	-3.3	-2.7	25	25	16
-4.08333333333333	-3.08333333333333	-5.3	-4.7	26	26	16
-3.08333333333333	-2.08333333333333	-5.3	-4.7	27	27	16
-6.08333333333333	-5.08333333333333	-5.3	-4.7	28	28	16
-5.08333333333333	-4.08333333333333	-5.3	-4.7	29	29	16
-5.58333333333333	-4.58333333333333	-6.3	-5.7	30	30	16
-4.58333333333333	-3.58333333333333	-6.3	-5.7	31	31	16
-1.25	-0.25	-4.3	-3.7	32	32	16
-0.25	0.75	-4.3	-3.7	33	33	16
-0.5	0.5	-0.3	0.3	1	1	17
-1	0	-1.3	-0.7	2	2	17
0	1	-1.3	-0.7	3	3	17
-1.11022302462516e-16	1	-2.3	-1.7	4	4	17
1	2	-2.3	-1.7	5	5	17
-2	-1	-2.3	-1.7	6	6	17
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	17
-4	-3	-3.3	-2.7	8	8	17
-3	-2	-3.3	-2.7	9	9	17
-2	-1	-3.3	-2.7	10	10	17
-1	-6.66133814775094e-16	-3.3	-2.7	11	11	17
-3.5	-2.5	-4.3	-3.7	12	12	17
-2.5	-1.5	-4.3	-3.7	13	13	17
-2.33333333333333	-1.33333333333333	-5.3	-4.7	14	14	17
-1.33333333333333	-0.333333333333334	-5.3	-4.7	15	15	17
-1.83333333333333	-0.833333333333334	-6.3	-5.7	16	16	17
-0.833333333333334	0.166666666666666	-6.3	-5.7	17	17	17
-5.5	-4.5	-4.3	-3.7	18	18	17
-4.5	-3.5	-4.3	-3.7	19	19	17
-3.33066907387547e-16	1	-3.3	-2.7	20	20	17
1	2	-3.3	-2.7	21	21	17
0.5	1.5	-4.3	-3.7	22	22	17
1.5	2.5	-4.3	-3.7	23	23	17
2	3	-3.3	-2.7	24	24	17
3	4	-3.3	-2.7	25	25	17
-4.33333333333333	-3.33333333333333	-5.3	-4.7	26	26	17
-3.33333333333333	-2.33333333333333	-5.3	-4.7	27	27	17
-6.33333333333333	-5.33333333333333	-5.3	-4.7	28	28	17
-5.33333333333333	-4.33333333333333	-5.3	-4.7	29	29	17
-5.83333333333333	-4.83333333333333	-6.3	-5.7	30	30	17
-4.83333333333333	-3.83333333333333	-6.3	-5.7	31	31	17
-1.5	-0.5	-4.3	-3.7	32	32	17
-0.5	0.5	-4.3	-3.7	33	33	17
2.5	3.5	-4.3	-3.7	34	34	17
3.5	4.5	-4.3	-3.7	35	35	17
-0.5	0.5	-0.3	0.3	1	1	18
-1	0	-1.3	-0.7	2	2	18
0	1	-1.3	-0.7	3	3	18
-1.11022302462516e-16	1	-2.3	-1.7	4	4	18
1	2	-2.3	-1.7	5	5	18
-2	-1	-2.3	-1.7	6	6	18
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	18
-4	-3	-3.3	-2.7	8	8	18
-3	-2	-3.3	-2.7	9	9	18
-2	-1	-3.3	-2.7	10	10	18
-1	-6.66133814775094e-16	-3.3	-2.7	11	11	18
-3.5	-2.5	-4.3	-3.7	12	12	18
-2.5	-1.5	-4.3	-3.7	13	13	18
-2.75	-1.75	-5.3	-4.7	14	14	18
-1.75	-0.75	-5.3	-4.7	15	15	18
-2.25	-1.25	-6.3	-5.7	16	16	18
-1.25	-0.25	-6.3	-5.7	17	17	18
-5.5	-4.5	-4.3	-3.7	18	18	18
-4.5	-3.5	-4.3	-3.7	19	19	18
-3.33066907387547e-16	1	-3.3	-2.7	20	20	18
1	2	-3.3	-2.7	21	21	18
0.5	1.5	-4.3	-3.7	22	22	18
1.5	2.5	-4.3	-3.7	23	23	18
2	3	-3.3	-2.7	24	24	18
3	4	-3.3	-2.7	25	25	18
-4.75	-3.75	-5.3	-4.7	26	26	18
-3.75	-2.75	-5.3	-4.7	27	27	18
-6.75	-5.75	-5.3	-4.7	28	28	18
-5.75	-4.75	-5.3	-4.7	29	29	18
-6.25	-5.25	-6.3	-5.7	30	30	18
-5.25	-4.25	-6.3	-5.7	31	31	18
-1.5	-0.5	-4.3	-3.7	32	32	18
-0.5	0.5	-4.3	-3.7	33	33	18
2.5	3.5	-4.3	-3.7	34	34	18
3.5	4.5	-4.3	-3.7	35	35	18
-0.750000000000001	0.249999999999999	-5.3	-4.7	36	36	18
0.25	1.25	-5.3	-4.7	37	37	18
-0.5	0.5	-0.3	0.3	1	1	19
-1	0	-1.3	-0.7	2	2	19
0	1	-1.3	-0.7	3	3	19
-1.11022302462516e-16	1	-2.3	-1.7	4	4	19
1	2	-2.3	-1.7	5	5	19
-2	-1	-2.3	-1.7	6	6	19
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	19
-4	-3	-3.3	-2.7	8	8	19
-3	-2	-3.3	-2.7	9	9	19
-2	-1	-3.3	-2.7	10	10	19
-1	-6.66133814775094e-16	-3.3	-2.7	11	11	19
-3.5	-2.5	-4.3	-3.7	12	12	19
-2.5	-1.5	-4.3	-3.7	13	13	19
-3	-2	-5.3	-4.7	14	14	19
-2	-1	-5.3	-4.7	15	15	19
-2.5	-1.5	-6.3	-5.7	16	16	19
-1.5	-0.5	-6.3	-5.7	17	17	19
-5.5	-4.5	-4.3	-3.7	18	18	19
-4.5	-3.5	-4.3	-3.7	19	19	19
-3.33066907387547e-16	1	-3.3	-2.7	20	20	19
1	2	-3.3	-2.7	21	21	19
0.5	1.5	-4.3	-3.7	22	22	19
1.5	2.5	-4.3	-3.7	23	23	19
2	3	-3.3	-2.7	24	24	19
3	4	-3.3	-2.7	25	25	19
-5	-4	-5.3	-4.7	26	26	19
-4	-3	-5.3	-4.7	27	27	19
-7	-6	-5.3	-4.7	28	28	19
-6	-5	-5.3	-4.7	29	29	19
-6.5	-5.5	-6.3	-5.7	30	30	19
-5.5	-4.5	-6.3	-5.7	31	31	19
-1.5	-0.5	-4.3	-3.7	32	32	19
-0.5	0.5	-4.3	-3.7	33	33	19
2.5	3.5	-4.3	-3.7	34	34	19
3.5	4.5	-4.3	-3.7	35	35	19
-1	-4.44089209850063e-16	-5.3	-4.7	36	36	19
-2.77555756156289e-16	1	-5.3	-4.7	37	37	19
1	2	-5.3	-4.7	38	38	19
2	3	-5.3	-4.7	39	39	19
-0.5	0.5	-0.3	0.3	1	1	20
-1	0	-1.3	-0.7	2	2	20
0	1	-1.3	-0.7	3	3	20
-1.11022302462516e-16	1	-2.3	-1.7	4	4	20
1	2	-2.3	-1.7	5	5	20
-2	-1	-2.3	-1.7	6	6	20
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	20
-4	-3	-3.3	-2.7	8	8	20
-3	-2	-3.3	-2.7	9	9	20
-2	-1	-3.3	-2.7	10	10	20
-1	-6.66133814775094e-16	-3.3	-2.7	11	11	20
-3.5	-2.5	-4.3	-3.7	12	12	20
-2.5	-1.5	-4.3	-3.7	13	13	20
-3	-2	-5.3	-4.7	14	14	20
-2	-1	-5.3	-4.7	15	15	20
-2.5	-1.5	-6.3	-5.7	16	16	20
-1.5	-0.5	-6.3	-5.7	17	17	20
-5.5	-4.5	-4.3	-3.7	18	18	20
-4.5	-3.5	-4.3	-3.7	19	19	20
-3.33066907387547e-16	1	-3.3	-2.7	20	20	20
1	2	-3.3	-2.7	21	21	20
0.5	1.5	-4.3	-3.7	22	22	20
1.5	2.5	-4.3	-3.7	23	23	20
2	3	-3.3	-2.7	24	24	20
3	4	-3.3	-2.7	25	25	20
-5	-4	-5.3	-4.7	26	26	20
-4	-3	-5.3	-4.7	27	27	20
-7	-6	-5.3	-4.7	28	28	20
-6	-5	-5.3	-4.7	29	29	20
-6.5	-5.5	-6.3	-5.7	30	30	20
-5.5	-4.5	-6.3	-5.7	31	31	20
-1.5	-0.5	-4.3	-3.7	32	32	20
-0.5	0.5	-4.3	-3.7	33	33	20
2.5	3.5	-4.3	-3.7	34	34	20
3.5	4.5	-4.3	-3.7	35	35	20
-1	-4.44089209850063e-16	-5.3	-4.7	36	36	20
-2.77555756156289e-16	1	-5.3	-4.7	37	37	20
1	2	-5.3	-4.7	38	38	20
2	3	-5.3	-4.7	39	39	20
-7	-6	-7.3	-6.7	40	40	20
-6	-5	-7.3	-6.7	41	41	20
-0.5	0.5	-0.3	0.3	1	1	21
-1	0	-1.3	-0.7	2	2	21
0	1	-1.3	-0.7	3	3	21
-1.11022302462516e-16	1	-2.3	-1.7	4	4	21
1	2	-2.3	-1.7	5	5	21
-2	-1	-2.3	-1.7	6	6	21
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	21
-4	-3	-3.3	-2.7	8	8	21
-3	-2	-3.3	-2.7	9	9	21
-2	-1	-3.3	-2.7	10	10	21
-1	-6.66133814775094e-16	-3.3	-2.7	11	11	21
-3.5	-2.5	-4.3	-3.7	12	12	21
-2.5	-1.5	-4.3	-3.7	13	13	21
-3	-2	-5.3	-4.7	14	14	21
-2	-1	-5.3	-4.7	15	15	21
-2.5	-1.5	-6.3	-5.7	16	16	21
-1.5	-0.5	-6.3	-5.7	17	17	21
-5.5	-4.5	-4.3	-3.7	18	18	21
-4.5	-3.5	-4.3	-3.7	19	19	21
-3.33066907387547e-16	1	-3.3	-2.7	20	20	21
1	2	-3.3	-2.7	21	21	21
0.5	1.5	-4.3	-3.7	22	22	21
1.5	2.5	-4.3	-3.7	23	23	21
2	3	-3.3	-2.7	24	24	21
3	4	-3.3	-2.7	25	25	21
-5	-4	-5.3	-4.7	26	26	21
-4	-3	-5.3	-4.7	27	27	21
-7	-6	-5.3	-4.7	28	28	21
-6	-5	-5.3	-4.7	29	29	21
-6.5	-5.5	-6.3	-5.7	30	30	21
-5.5	-4.5	-6.3	-5.7	31	31	21
-1.5	-0.5	-4.3	-3.7	32	32	21
-0.5	0.5	-4.3	-3.7	33	33	21
2.5	3.5	-4.3	-3.7	34	34	21
3.5	4.5	-4.3	-3.7	35	35	21
-1	-4.44089209850063e-16	-5.3	-4.7	36	36	21
-2.77555756156289e-16	1	-5.3	-4.7	37	37	21
1	2	-5.3	-4.7	38	38	21
2	3	-5.3	-4.7	39	39	21
-7	-6	-7.3	-6.7	40	40	21
-6	-5	-7.3	-6.7	41	41	21
-7.5	-6.5	-8.3	-7.7	42	42	21
-6.5	-5.5	-8.3	-7.7	43	43	21
-0.5	0.5	-0.3	0.3	1	1	22
-1	0	-1.3	-0.7	2	2	22
0	1	-1.3	-0.7	3	3	22
-1.11022302462516e-16	1	-2.3	-1.7	4	4	22
1	2	-2.3	-1.7	5	5	22
-2	-1	-2.3	-1.7	6	6	22
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	22
-4	-3	-3.3	-2.7	8	8	22
-3	-2	-3.3	-2.7	9	9	22
-2	-1	-3.3	-2.7	10	10	22
-1	-6.66133814775094e-16	-3.3	-2.7	11	11	22
-3.5	-2.5	-4.3	-3.7	12	12	22
-2.5	-1.5	-4.3	-3.7	13	13	22
-3	-2	-5.3	-4.7	14	14	22
-2	-1	-5.3	-4.7	15	15	22
-2.5	-1.5	-6.3	-5.7	16	16	22
-1.5	-0.5	-6.3	-5.7	17	17	22
-5.5	-4.5	-4.3	-3.7	18	18	22
-4.5	-3.5	-4.3	-3.7	19	19	22
-3.33066907387547e-16	1	-3.3	-2.7	20	20	22
1	2	-3.3	-2.7	21	21	22
0.5	1.5	-4.3	-3.7	22	22	22
1.5	2.5	-4.3	-3.7	23	23	22
2	3	-3.3	-2.7	24	24	22
3	4	-3.3	-2.7	25	25	22
-5	-4	-5.3	-4.7	26	26	22
-4	-3	-5.3	-4.7	27	27	22
-7	-6	-5.3	-4.7	28	28	22
-6	-5	-5.3	-4.7	29	29	22
-7	-6	-6.3	-5.7	30	30	22
-6	-5	-6.3	-5.7	31	31	22
-1.5	-0.5	-4.3	-3.7	32	32	22
-0.5	0.5	-4.3	-3.7	33	33	22
2.5	3.5	-4.3	-3.7	34	34	22
3.5	4.5	-4.3	-3.7	35	35	22
-1	-4.44089209850063e-16	-5.3	-4.7	36	36	22
-2.77555756156289e-16	1	-5.3	-4.7	37	37	22
1	2	-5.3	-4.7	38	38	22
2	3	-5.3	-4.7	39	39	22
-7.5	-6.5	-7.3	-6.7	40	40	22
-6.5	-5.5	-7.3	-6.7	41	41	22
-8	-7	-8.3	-7.7	42	42	22
-7	-6	-8.3	-7.7	43	43	22
-5	-4	-6.3	-5.7	44	44	22
-4	-3	-6.3	-5.7	45	45	22
-0.5	0.5	-0.3	0.3	1	1	23
-1	0	-1.3	-0.7	2	2	23
0	1	-1.3	-0.7	3	3	23
-1.11022302462516e-16	1	-2.3	-1.7	4	4	23
1	2	-2.3	-1.7	5	5	23
-2	-1	-2.3	-1.7	6	6	23
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	23
-4	-3	-3.3	-2.7	8	8	23
-3	-2	-3.3	-2.7	9	9	23
-2	-1	-3.3	-2.7	10	10	23
-1	-6.66133814775094e-16	-3.3	-2.7	11	11	23
-3.5	-2.5	-4.3	-3.7	12	12	23
-2.5	-1.5	-4.3	-3.7	13	13	23
-3	-2	-5.3	-4.7	14	14	23
-2	-1	-5.3	-4.7	15	15	23
-2.5	-1.5	-6.3	-5.7	16	16	23
-1.5	-0.5	-6.3	-5.7	17	17	23
-5.5	-4.5	-4.3	-3.7	18	18	23
-4.5	-3.5	-4.3	-3.7	19	19	23
-3.33066907387547e-16	1	-3.3	-2.7	20	20	23
1	2	-3.3	-2.7	21	21	23
0.5	1.5	-4.3	-3.7	22	22	23
1.5	2.5	-4.3	-3.7	23	23	23
2	3	-3.3	-2.7	24	24	23
3	4	-3.3	-2.7	25	25	23
-5	-4	-5.3	-4.7	26	26	23
-4	-3	-5.3	-4.7	27	27	23
-7	-6	-5.3	-4.7	28	28	23
-6	-5	-5.3	-4.7	29	29	23
-7	-6	-6.3	-5.7	30	30	23
-6	-5	-6.3	-5.7	31	31	23
-1.5	-0.5	-4.3	-3.7	32	32	23
-0.5	0.5	-4.3	-3.7	33	33	23
2.5	3.5	-4.3	-3.7	34	34	23
