group	colour	showSelectedlegendcolour
1	#FFFFFF	TRUE
2	#FFFFFF	TRUE
3	#000000	FALSE
4	#FFFFFF	TRUE
5	#FFFFFF	TRUE
6	#000000	FALSE
7	#000000	FALSE
8	#FFFFFF	TRUE
9	#FFFFFF	TRUE
10	#FFFFFF	TRUE
11	#000000	FALSE
12	#FFFFFF	TRUE
13	#000000	FALSE
14	#FFFFFF	TRUE
15	#FFFFFF	TRUE
16	#FFFFFF	TRUE
17	#000000	FALSE
18	#FFFFFF	TRUE
19	#FFFFFF	TRUE
20	#000000	FALSE
21	#FFFFFF	TRUE
22	#FFFFFF	TRUE
23	#000000	FALSE
24	#000000	FALSE
25	#FFFFFF	TRUE
26	#FFFFFF	TRUE
27	#FFFFFF	TRUE
28	#000000	FALSE
29	#000000	FALSE
30	#000000	FALSE
31	#000000	FALSE
32	#FFFFFF	TRUE
33	#000000	FALSE
34	#000000	FALSE
35	#FFFFFF	TRUE
36	#FFFFFF	TRUE
37	#000000	FALSE
38	#000000	FALSE
39	#FFFFFF	TRUE
40	#000000	FALSE
41	#000000	FALSE
42	#000000	FALSE
43	#000000	FALSE
44	#FFFFFF	TRUE
45	#000000	FALSE
46	#000000	FALSE
47	#FFFFFF	TRUE
48	#FFFFFF	TRUE
49	#FFFFFF	TRUE
50	#FFFFFF	TRUE
51	#FFFFFF	TRUE
52	#000000	FALSE
53	#FFFFFF	TRUE
54	#FFFFFF	TRUE
55	#FFFFFF	TRUE
56	#FFFFFF	TRUE
57	#FFFFFF	TRUE
58	#FFFFFF	TRUE
59	#FFFFFF	TRUE
60	#000000	FALSE
61	#000000	FALSE
62	#FFFFFF	TRUE
63	#FFFFFF	TRUE
64	#FFFFFF	TRUE
65	#000000	FALSE
66	#FFFFFF	TRUE
67	#000000	FALSE
68	#FFFFFF	TRUE
69	#FFFFFF	TRUE
70	#FFFFFF	TRUE
71	#FFFFFF	TRUE
72	#FFFFFF	TRUE
73	#FFFFFF	TRUE
74	#FFFFFF	TRUE
75	#FFFFFF	TRUE
76	#000000	FALSE
77	#FFFFFF	TRUE
78	#000000	FALSE
79	#FFFFFF	TRUE
80	#FFFFFF	TRUE
81	#000000	FALSE
82	#FFFFFF	TRUE
83	#000000	FALSE
84	#FFFFFF	TRUE
85	#000000	FALSE
86	#000000	FALSE
87	#000000	FALSE
88	#FFFFFF	TRUE
89	#000000	FALSE
90	#000000	FALSE
91	#FFFFFF	TRUE
92	#000000	FALSE
93	#FFFFFF	TRUE
94	#FFFFFF	TRUE
95	#000000	FALSE
96	#000000	FALSE
97	#FFFFFF	TRUE
98	#FFFFFF	TRUE
99	#FFFFFF	TRUE
100	#FFFFFF	TRUE
101	#FFFFFF	TRUE
102	#FFFFFF	TRUE
103	#000000	FALSE
104	#FFFFFF	TRUE
105	#FFFFFF	TRUE
106	#FFFFFF	TRUE
107	#FFFFFF	TRUE
108	#FFFFFF	TRUE
109	#000000	FALSE
110	#000000	FALSE
111	#000000	FALSE
112	#000000	FALSE
113	#FFFFFF	TRUE
114	#FFFFFF	TRUE
115	#000000	FALSE
116	#FFFFFF	TRUE
117	#000000	FALSE
118	#000000	FALSE
119	#000000	FALSE
120	#FFFFFF	TRUE
121	#FFFFFF	TRUE
122	#000000	FALSE
123	#FFFFFF	TRUE
124	#FFFFFF	TRUE
125	#000000	FALSE
126	#FFFFFF	TRUE
127	#FFFFFF	TRUE
128	#000000	FALSE
129	#000000	FALSE
130	#000000	FALSE
131	#000000	FALSE
132	#000000	FALSE
133	#FFFFFF	TRUE
134	#FFFFFF	TRUE
135	#000000	FALSE
136	#FFFFFF	TRUE
137	#FFFFFF	TRUE
138	#000000	FALSE
139	#000000	FALSE
140	#FFFFFF	TRUE
141	#FFFFFF	TRUE
142	#FFFFFF	TRUE
143	#FFFFFF	TRUE
144	#000000	FALSE
145	#FFFFFF	TRUE
146	#FFFFFF	TRUE
147	#FFFFFF	TRUE
148	#FFFFFF	TRUE
149	#FFFFFF	TRUE
150	#000000	FALSE
151	#000000	FALSE
152	#FFFFFF	TRUE
153	#FFFFFF	TRUE
154	#000000	FALSE
155	#000000	FALSE
156	#000000	FALSE
157	#000000	FALSE
158	#FFFFFF	TRUE
159	#000000	FALSE
160	#FFFFFF	TRUE
161	#000000	FALSE
162	#000000	FALSE
163	#000000	FALSE
164	#FFFFFF	TRUE
165	#FFFFFF	TRUE
166	#FFFFFF	TRUE
167	#000000	FALSE
168	#000000	FALSE
169	#FFFFFF	TRUE
170	#FFFFFF	TRUE
171	#000000	FALSE
172	#000000	FALSE
173	#FFFFFF	TRUE
174	#000000	FALSE
175	#FFFFFF	TRUE
176	#000000	FALSE
177	#000000	FALSE
178	#000000	FALSE
179	#FFFFFF	TRUE
180	#FFFFFF	TRUE
181	#FFFFFF	TRUE
182	#FFFFFF	TRUE
183	#000000	FALSE
184	#FFFFFF	TRUE
185	#000000	FALSE
186	#FFFFFF	TRUE
187	#000000	FALSE
188	#000000	FALSE
189	#000000	FALSE
190	#FFFFFF	TRUE
191	#FFFFFF	TRUE
192	#000000	FALSE
193	#000000	FALSE
194	#000000	FALSE
195	#FFFFFF	TRUE
196	#000000	FALSE
197	#000000	FALSE
198	#000000	FALSE
199	#000000	FALSE
200	#FFFFFF	TRUE
