xmin	xmax	clickSelects	group
0.5	1.5	0	-1
1.5	2.5	1	-1
2.5	3.5	2	-1
3.5	4.5	3	-1
4.5	5.5	4	-1
5.5	6.5	5	-1
6.5	7.5	6	-1
7.5	8.5	7	-1
8.5	9.5	8	-1
9.5	10.5	9	-1
10.5	11.5	10	-1
11.5	12.5	11	-1
12.5	13.5	12	-1
13.5	14.5	13	-1
14.5	15.5	14	-1
15.5	16.5	15	-1
16.5	17.5	16	-1
17.5	18.5	17	-1
18.5	19.5	18	-1
19.5	20.5	19	-1
20.5	21.5	20	-1
21.5	22.5	21	-1
22.5	23.5	22	-1
23.5	24.5	23	-1
24.5	25.5	24	-1
