group	colour	showSelectedlegendcolour
1	#FFFFFF	TRUE
2	#000000	FALSE
3	#000000	FALSE
4	#FFFFFF	TRUE
5	#000000	FALSE
6	#FFFFFF	TRUE
7	#000000	FALSE
8	#000000	FALSE
9	#FFFFFF	TRUE
10	#FFFFFF	TRUE
11	#000000	FALSE
12	#FFFFFF	TRUE
13	#FFFFFF	TRUE
14	#FFFFFF	TRUE
15	#FFFFFF	TRUE
16	#000000	FALSE
17	#FFFFFF	TRUE
18	#FFFFFF	TRUE
19	#FFFFFF	TRUE
20	#000000	FALSE
21	#FFFFFF	TRUE
22	#FFFFFF	TRUE
23	#FFFFFF	TRUE
24	#000000	FALSE
25	#FFFFFF	TRUE
26	#FFFFFF	TRUE
27	#FFFFFF	TRUE
28	#000000	FALSE
29	#FFFFFF	TRUE
30	#000000	FALSE
31	#000000	FALSE
32	#FFFFFF	TRUE
33	#FFFFFF	TRUE
34	#FFFFFF	TRUE
35	#FFFFFF	TRUE
36	#FFFFFF	TRUE
37	#FFFFFF	TRUE
38	#000000	FALSE
39	#FFFFFF	TRUE
40	#000000	FALSE
41	#FFFFFF	TRUE
42	#000000	FALSE
43	#000000	FALSE
44	#FFFFFF	TRUE
45	#FFFFFF	TRUE
46	#FFFFFF	TRUE
47	#000000	FALSE
48	#FFFFFF	TRUE
49	#FFFFFF	TRUE
50	#000000	FALSE
51	#FFFFFF	TRUE
52	#000000	FALSE
53	#FFFFFF	TRUE
54	#000000	FALSE
55	#FFFFFF	TRUE
56	#000000	FALSE
57	#000000	FALSE
58	#000000	FALSE
59	#FFFFFF	TRUE
60	#FFFFFF	TRUE
61	#FFFFFF	TRUE
62	#000000	FALSE
63	#FFFFFF	TRUE
64	#FFFFFF	TRUE
65	#FFFFFF	TRUE
66	#FFFFFF	TRUE
67	#000000	FALSE
68	#FFFFFF	TRUE
69	#FFFFFF	TRUE
70	#FFFFFF	TRUE
71	#FFFFFF	TRUE
72	#FFFFFF	TRUE
73	#FFFFFF	TRUE
74	#FFFFFF	TRUE
75	#FFFFFF	TRUE
76	#FFFFFF	TRUE
77	#FFFFFF	TRUE
78	#FFFFFF	TRUE
79	#FFFFFF	TRUE
80	#FFFFFF	TRUE
81	#000000	FALSE
82	#FFFFFF	TRUE
83	#000000	FALSE
84	#FFFFFF	TRUE
85	#000000	FALSE
86	#FFFFFF	TRUE
87	#FFFFFF	TRUE
88	#FFFFFF	TRUE
89	#FFFFFF	TRUE
90	#000000	FALSE
91	#000000	FALSE
92	#000000	FALSE
93	#FFFFFF	TRUE
94	#FFFFFF	TRUE
95	#000000	FALSE
96	#000000	FALSE
97	#FFFFFF	TRUE
98	#FFFFFF	TRUE
99	#FFFFFF	TRUE
100	#FFFFFF	TRUE
101	#FFFFFF	TRUE
102	#FFFFFF	TRUE
103	#FFFFFF	TRUE
104	#000000	FALSE
105	#FFFFFF	TRUE
106	#FFFFFF	TRUE
107	#000000	FALSE
108	#FFFFFF	TRUE
109	#000000	FALSE
110	#000000	FALSE
111	#000000	FALSE
112	#FFFFFF	TRUE
113	#FFFFFF	TRUE
114	#FFFFFF	TRUE
115	#FFFFFF	TRUE
116	#000000	FALSE
117	#FFFFFF	TRUE
118	#000000	FALSE
119	#FFFFFF	TRUE
120	#FFFFFF	TRUE
121	#FFFFFF	TRUE
122	#000000	FALSE
123	#000000	FALSE
124	#000000	FALSE
125	#000000	FALSE
126	#000000	FALSE
127	#FFFFFF	TRUE
128	#000000	FALSE
129	#FFFFFF	TRUE
130	#000000	FALSE
131	#000000	FALSE
132	#FFFFFF	TRUE
133	#FFFFFF	TRUE
134	#000000	FALSE
135	#000000	FALSE
136	#FFFFFF	TRUE
137	#FFFFFF	TRUE
138	#FFFFFF	TRUE
139	#000000	FALSE
140	#FFFFFF	TRUE
141	#FFFFFF	TRUE
142	#FFFFFF	TRUE
143	#FFFFFF	TRUE
144	#000000	FALSE
145	#FFFFFF	TRUE
146	#000000	FALSE
147	#FFFFFF	TRUE
148	#FFFFFF	TRUE
149	#FFFFFF	TRUE
150	#000000	FALSE
151	#000000	FALSE
152	#FFFFFF	TRUE
153	#000000	FALSE
154	#000000	FALSE
155	#FFFFFF	TRUE
156	#000000	FALSE
157	#FFFFFF	TRUE
158	#FFFFFF	TRUE
159	#000000	FALSE
160	#FFFFFF	TRUE
161	#FFFFFF	TRUE
162	#FFFFFF	TRUE
163	#000000	FALSE
164	#000000	FALSE
165	#FFFFFF	TRUE
166	#FFFFFF	TRUE
167	#000000	FALSE
168	#FFFFFF	TRUE
169	#FFFFFF	TRUE
170	#FFFFFF	TRUE
171	#FFFFFF	TRUE
172	#000000	FALSE
173	#FFFFFF	TRUE
174	#FFFFFF	TRUE
175	#FFFFFF	TRUE
176	#FFFFFF	TRUE
177	#000000	FALSE
178	#000000	FALSE
179	#FFFFFF	TRUE
180	#FFFFFF	TRUE
181	#000000	FALSE
182	#FFFFFF	TRUE
183	#FFFFFF	TRUE
184	#000000	FALSE
185	#000000	FALSE
186	#000000	FALSE
187	#000000	FALSE
188	#FFFFFF	TRUE
189	#000000	FALSE
190	#FFFFFF	TRUE
191	#FFFFFF	TRUE
192	#000000	FALSE
193	#FFFFFF	TRUE
194	#000000	FALSE
195	#FFFFFF	TRUE
196	#000000	FALSE
197	#000000	FALSE
198	#000000	FALSE
199	#000000	FALSE
200	#FFFFFF	TRUE
