colour	x	y	showSelectedlegendcolour	fill
#00BFC4	25	47.9742453061498	TRUE	#00BFC4
#00BFC4	24	48.2158178739615	TRUE	#00BFC4
#F8766D	23	48.5928710870564	FALSE	#F8766D
#00BFC4	22	48.9699243001514	TRUE	#00BFC4
#00BFC4	21	49.4820734725119	TRUE	#00BFC4
#00BFC4	20	50.4062154348452	TRUE	#00BFC4
#00BFC4	19	51.3703748877843	TRUE	#00BFC4
#00BFC4	18	52.3648205829002	TRUE	#00BFC4
#00BFC4	17	53.6405828243933	TRUE	#00BFC4
#00BFC4	16	55.1511514009366	TRUE	#00BFC4
#00BFC4	15	57.0048869708095	TRUE	#00BFC4
#00BFC4	14	58.8985846560003	TRUE	#00BFC4
#00BFC4	13	60.9161210533937	TRUE	#00BFC4
#00BFC4	12	63.2478712230863	TRUE	#00BFC4
#00BFC4	11	65.7426444607331	TRUE	#00BFC4
#00BFC4	10	68.2800179868776	TRUE	#00BFC4
#00BFC4	9	70.8724480906271	TRUE	#00BFC4
#F8766D	8	74.3246329600485	FALSE	#F8766D
#F8766D	7	77.5152636604541	FALSE	#F8766D
#00BFC4	6	80.4563158667602	TRUE	#00BFC4
#00BFC4	5	84.4197841440306	TRUE	#00BFC4
#F8766D	4	99.2866558603216	FALSE	#F8766D
#F8766D	3	119.498054604197	FALSE	#F8766D
#F8766D	2	133.264674741901	FALSE	#F8766D
#00BFC4	1	137.627762742718	TRUE	#00BFC4
