x	y	label	key	showSelected1	group
0	-0.2	p=0.45	1	0	-1
0	-0.2	X1<0.69	1	1	-1
-0.5	-1.2	p=0.38	2	1	-1
0.5	-1.2	p=0.60	3	1	-1
0	-0.2	X1<0.69	1	2	-1
-0.5	-1.2	p=0.38	2	2	-1
0.5	-1.2	X2<0.40	3	2	-1
0	-2.2	p=0.27	4	2	-1
1	-2.2	p=0.91	5	2	-1
0	-0.2	X1<0.69	1	3	-1
-0.5	-1.2	X1<0.40	2	3	-1
0.5	-1.2	X2<0.40	3	3	-1
0.5	-2.2	p=0.27	4	3	-1
1.5	-2.2	p=0.91	5	3	-1
-1.5	-2.2	p=0.52	6	3	-1
-0.5	-2.2	p=0.09	7	3	-1
0	-0.2	X1<0.69	1	4	-1
-0.5	-1.2	X1<0.40	2	4	-1
0.5	-1.2	X2<0.40	3	4	-1
0.5	-2.2	p=0.27	4	4	-1
1.5	-2.2	p=0.91	5	4	-1
-1.5	-2.2	X2<0.50	6	4	-1
-0.5	-2.2	p=0.09	7	4	-1
-2	-3.2	p=0.86	8	4	-1
-1	-3.2	p=0.22	9	4	-1
0	-0.2	X1<0.69	1	5	-1
-0.5	-1.2	X1<0.40	2	5	-1
0.5	-1.2	X2<0.40	3	5	-1
0.5	-2.2	p=0.27	4	5	-1
1.5	-2.2	p=0.91	5	5	-1
-1.5	-2.2	X2<0.50	6	5	-1
-0.5	-2.2	X2<0.56	7	5	-1
-2.5	-3.2	p=0.86	8	5	-1
-1.5	-3.2	p=0.22	9	5	-1
-0.5	-3.2	p=0.00	10	5	-1
0.5	-3.2	p=0.22	11	5	-1
0	-0.2	X1<0.69	1	6	-1
-0.5	-1.2	X1<0.40	2	6	-1
0.5	-1.2	X2<0.40	3	6	-1
0.5	-2.2	p=0.27	4	6	-1
1.5	-2.2	p=0.91	5	6	-1
-1.5	-2.2	X2<0.50	6	6	-1
-0.5	-2.2	X2<0.56	7	6	-1
-2.5	-3.2	p=0.86	8	6	-1
-1.5	-3.2	X1<0.15	9	6	-1
-0.5	-3.2	p=0.00	10	6	-1
0.5	-3.2	p=0.22	11	6	-1
-2	-4.2	p=0.44	12	6	-1
-1	-4.2	p=0.12	13	6	-1
0	-0.2	X1<0.69	1	7	-1
-0.5	-1.2	X1<0.40	2	7	-1
0.5	-1.2	X2<0.40	3	7	-1
0.5	-2.2	p=0.27	4	7	-1
1.5	-2.2	p=0.91	5	7	-1
-1.5	-2.2	X2<0.50	6	7	-1
-0.5	-2.2	X2<0.56	7	7	-1
-2.5	-3.2	p=0.86	8	7	-1
-1.5	-3.2	X1<0.15	9	7	-1
-0.5	-3.2	p=0.00	10	7	-1
0.5	-3.2	p=0.22	11	7	-1
-2	-4.2	p=0.44	12	7	-1
-1	-4.2	X2<0.80	13	7	-1
-1.5	-5.2	p=0.00	14	7	-1
-0.5	-5.2	p=0.25	15	7	-1
0	-0.2	X1<0.69	1	8	-1
-0.5	-1.2	X1<0.40	2	8	-1
0.5	-1.2	X2<0.40	3	8	-1
0.5	-2.2	p=0.27	4	8	-1
1.5	-2.2	p=0.91	5	8	-1
-1.5	-2.2	X2<0.50	6	8	-1
-0.5	-2.2	X2<0.56	7	8	-1
-2.5	-3.2	p=0.86	8	8	-1
-1.5	-3.2	X1<0.15	9	8	-1
-0.5	-3.2	p=0.00	10	8	-1
0.5	-3.2	p=0.22	11	8	-1
-2	-4.2	p=0.44	12	8	-1
-1	-4.2	X2<0.80	13	8	-1
-1.5	-5.2	p=0.00	14	8	-1
-0.5	-5.2	X2<0.88	15	8	-1
