x	y	label	key	showSelected1	group
-1	-6.2	p=0.50	16	8	-1
0	-6.2	p=0.00	17	8	-1
0	-0.2	X1<0.69	1	9	-1
-0.5	-1.2	X1<0.40	2	9	-1
0.5	-1.2	X2<0.40	3	9	-1
0.5	-2.2	p=0.27	4	9	-1
1.5	-2.2	p=0.91	5	9	-1
-1.5	-2.2	X2<0.50	6	9	-1
-0.5	-2.2	X2<0.56	7	9	-1
-2.5	-3.2	X1<0.27	8	9	-1
-1.5	-3.2	X1<0.15	9	9	-1
-0.5	-3.2	p=0.00	10	9	-1
0.5	-3.2	p=0.22	11	9	-1
-1.5	-4.2	p=0.44	12	9	-1
-0.5	-4.2	X2<0.80	13	9	-1
-1	-5.2	p=0.00	14	9	-1
0	-5.2	X2<0.88	15	9	-1
-0.5	-6.2	p=0.50	16	9	-1
0.5	-6.2	p=0.00	17	9	-1
-3.5	-4.2	p=0.79	18	9	-1
-2.5	-4.2	p=1.00	19	9	-1
0	-0.2	X1<0.69	1	10	-1
-0.5	-1.2	X1<0.40	2	10	-1
0.5	-1.2	X2<0.40	3	10	-1
0.5	-2.2	X2<0.06	4	10	-1
1.5	-2.2	p=0.91	5	10	-1
-1.5	-2.2	X2<0.50	6	10	-1
-0.5	-2.2	X2<0.56	7	10	-1
-3	-3.2	X1<0.27	8	10	-1
-2	-3.2	X1<0.15	9	10	-1
-1	-3.2	p=0.00	10	10	-1
-2.77555756156289e-16	-3.2	p=0.22	11	10	-1
-2	-4.2	p=0.44	12	10	-1
-1	-4.2	X2<0.80	13	10	-1
-1.5	-5.2	p=0.00	14	10	-1
-0.5	-5.2	X2<0.88	15	10	-1
-1	-6.2	p=0.50	16	10	-1
0	-6.2	p=0.00	17	10	-1
-4	-4.2	p=0.79	18	10	-1
-3	-4.2	p=1.00	19	10	-1
1	-3.2	p=0.00	20	10	-1
2	-3.2	p=0.35	21	10	-1
0	-0.2	X1<0.69	1	11	-1
-0.5	-1.2	X1<0.40	2	11	-1
0.5	-1.2	X2<0.40	3	11	-1
0.5	-2.2	X2<0.06	4	11	-1
1.5	-2.2	p=0.91	5	11	-1
-1.5	-2.2	X2<0.50	6	11	-1
-0.5	-2.2	X2<0.56	7	11	-1
-3	-3.2	X1<0.27	8	11	-1
-2	-3.2	X1<0.15	9	11	-1
-1	-3.2	p=0.00	10	11	-1
-2.77555756156289e-16	-3.2	p=0.22	11	11	-1
-2	-4.2	p=0.44	12	11	-1
-1	-4.2	X2<0.80	13	11	-1
-1.5	-5.2	p=0.00	14	11	-1
-0.5	-5.2	X2<0.88	15	11	-1
-1	-6.2	p=0.50	16	11	-1
0	-6.2	p=0.00	17	11	-1
-4	-4.2	p=0.79	18	11	-1
-3	-4.2	p=1.00	19	11	-1
1	-3.2	p=0.00	20	11	-1
2	-3.2	X2<0.35	21	11	-1
1.5	-4.2	p=0.44	22	11	-1
2.5	-4.2	p=0.00	23	11	-1
0	-0.2	X1<0.69	1	12	-1
-0.5	-1.2	X1<0.40	2	12	-1
0.5	-1.2	X2<0.40	3	12	-1
0.5	-2.2	X2<0.06	4	12	-1
1.5	-2.2	X1<0.84	5	12	-1
-1.5	-2.2	X2<0.50	6	12	-1
-0.5	-2.2	X2<0.56	7	12	-1
-3.5	-3.2	X1<0.27	8	12	-1
-2.5	-3.2	X1<0.15	9	12	-1
-1.5	-3.2	p=0.00	10	12	-1
-0.500000000000001	-3.2	p=0.22	11	12	-1
-2.5	-4.2	p=0.44	12	12	-1
-1.5	-4.2	X2<0.80	13	12	-1
-2	-5.2	p=0.00	14	12	-1
-1	-5.2	X2<0.88	15	12	-1
-1.5	-6.2	p=0.50	16	12	-1
-0.5	-6.2	p=0.00	17	12	-1
-4.5	-4.2	p=0.79	18	12	-1
-3.5	-4.2	p=1.00	19	12	-1
0.5	-3.2	p=0.00	20	12	-1
1.5	-3.2	X2<0.35	21	12	-1
1	-4.2	p=0.44	22	12	-1
2	-4.2	p=0.00	23	12	-1
2.5	-3.2	p=0.81	24	12	-1
3.5	-3.2	p=1.00	25	12	-1
0	-0.2	X1<0.69	1	13	-1
-0.5	-1.2	X1<0.40	2	13	-1
0.5	-1.2	X2<0.40	3	13	-1
0.5	-2.2	X2<0.06	4	13	-1
1.5	-2.2	X1<0.84	5	13	-1
-1.5	-2.2	X2<0.50	6	13	-1
-0.5	-2.2	X2<0.56	7	13	-1
-3.5	-3.2	X1<0.27	8	13	-1
-2.5	-3.2	X1<0.15	9	13	-1
-1.5	-3.2	p=0.00	10	13	-1
-0.500000000000001	-3.2	p=0.22	11	13	-1
-2.5	-4.2	X1<0.11	12	13	-1
-1.5	-4.2	X2<0.80	13	13	-1
-1.5	-5.2	p=0.00	14	13	-1
-0.5	-5.2	X2<0.88	15	13	-1
-1	-6.2	p=0.50	16	13	-1
0	-6.2	p=0.00	17	13	-1
-4.5	-4.2	p=0.79	18	13	-1
-3.5	-4.2	p=1.00	19	13	-1
0.5	-3.2	p=0.00	20	13	-1
1.5	-3.2	X2<0.35	21	13	-1
1	-4.2	p=0.44	22	13	-1
2	-4.2	p=0.00	23	13	-1
2.5	-3.2	p=0.81	24	13	-1
3.5	-3.2	p=1.00	25	13	-1
-3.5	-5.2	*p=0.27	26	13	-1
-2.5	-5.2	p=0.80	27	13	-1
0	-0.2	X1<0.69	1	14	-1
-0.5	-1.2	X1<0.40	2	14	-1
0.5	-1.2	X2<0.40	3	14	-1
0.5	-2.2	X2<0.06	4	14	-1
1.5	-2.2	X1<0.84	5	14	-1
-1.5	-2.2	X2<0.50	6	14	-1
-0.5	-2.2	X2<0.56	7	14	-1
-3.5	-3.2	X1<0.27	8	14	-1
-2.5	-3.2	X1<0.15	9	14	-1
-1.5	-3.2	p=0.00	10	14	-1
-0.500000000000001	-3.2	p=0.22	11	14	-1
-2.5	-4.2	X1<0.11	12	14	-1
-1.5	-4.2	X2<0.80	13	14	-1
-1.33333333333333	-5.2	p=0.00	14	14	-1
-0.333333333333333	-5.2	X2<0.88	15	14	-1
-0.833333333333333	-6.2	p=0.50	16	14	-1
0.166666666666667	-6.2	p=0.00	17	14	-1
-4.5	-4.2	X1<0.09	18	14	-1
-3.5	-4.2	p=1.00	19	14	-1
0.5	-3.2	p=0.00	20	14	-1
1.5	-3.2	X2<0.35	21	14	-1
1	-4.2	p=0.44	22	14	-1
2	-4.2	p=0.00	23	14	-1
2.5	-3.2	p=0.81	24	14	-1
3.5	-3.2	p=1.00	25	14	-1
-3.33333333333333	-5.2	*p=0.27	26	14	-1
-2.33333333333333	-5.2	p=0.80	27	14	-1
-5.33333333333333	-5.2	p=1.00	28	14	-1
-4.33333333333333	-5.2	p=0.73	29	14	-1
0	-0.2	X1<0.69	1	15	-1
-0.5	-1.2	X1<0.40	2	15	-1
0.5	-1.2	X2<0.40	3	15	-1
0.5	-2.2	X2<0.06	4	15	-1
1.5	-2.2	X1<0.84	5	15	-1
-1.5	-2.2	X2<0.50	6	15	-1
-0.5	-2.2	X2<0.56	7	15	-1
-3.5	-3.2	X1<0.27	8	15	-1
-2.5	-3.2	X1<0.15	9	15	-1
-1.5	-3.2	p=0.00	10	15	-1
-0.500000000000001	-3.2	p=0.22	11	15	-1
-2.5	-4.2	X1<0.11	12	15	-1
-1.5	-4.2	X2<0.80	13	15	-1
-1.33333333333333	-5.2	p=0.00	14	15	-1
-0.333333333333333	-5.2	X2<0.88	15	15	-1
-0.833333333333333	-6.2	p=0.50	16	15	-1
0.166666666666667	-6.2	p=0.00	17	15	-1
-4.5	-4.2	X1<0.09	18	15	-1
-3.5	-4.2	p=1.00	19	15	-1
0.5	-3.2	p=0.00	20	15	-1
1.5	-3.2	X2<0.35	21	15	-1
1	-4.2	p=0.44	22	15	-1
2	-4.2	p=0.00	23	15	-1
2.5	-3.2	p=0.81	24	15	-1
3.5	-3.2	p=1.00	25	15	-1
-3.33333333333333	-5.2	*p=0.27	26	15	-1
-2.33333333333333	-5.2	p=0.80	27	15	-1
-5.33333333333333	-5.2	p=1.00	28	15	-1
-4.33333333333333	-5.2	X2<0.38	29	15	-1
-4.83333333333333	-6.2	p=0.65	30	15	-1
-3.83333333333333	-6.2	p=1.00	31	15	-1
0	-0.2	X1<0.69	1	16	-1
-0.5	-1.2	X1<0.40	2	16	-1
0.5	-1.2	X2<0.40	3	16	-1
0.5	-2.2	X2<0.06	4	16	-1
1.5	-2.2	X1<0.84	5	16	-1
-1.5	-2.2	X2<0.50	6	16	-1
-0.5	-2.2	X2<0.56	7	16	-1
-3.5	-3.2	X1<0.27	8	16	-1
-2.5	-3.2	X1<0.15	9	16	-1
-1.5	-3.2	p=0.00	10	16	-1
-0.500000000000001	-3.2	X1<0.60	11	16	-1
-2.75	-4.2	X1<0.11	12	16	-1
-1.75	-4.2	X2<0.80	13	16	-1
-1.58333333333333	-5.2	p=0.00	14	16	-1
-0.583333333333334	-5.2	X2<0.88	15	16	-1
-1.08333333333333	-6.2	p=0.50	16	16	-1
-0.0833333333333337	-6.2	p=0.00	17	16	-1
-4.75	-4.2	X1<0.09	18	16	-1
-3.75	-4.2	p=1.00	19	16	-1
0.5	-3.2	p=0.00	20	16	-1
1.5	-3.2	X2<0.35	21	16	-1
1.25	-4.2	p=0.44	22	16	-1
2.25	-4.2	p=0.00	23	16	-1
2.5	-3.2	p=0.81	24	16	-1
3.5	-3.2	p=1.00	25	16	-1
-3.58333333333333	-5.2	*p=0.27	26	16	-1
-2.58333333333333	-5.2	p=0.80	27	16	-1
-5.58333333333333	-5.2	p=1.00	28	16	-1
-4.58333333333333	-5.2	X2<0.38	29	16	-1
-5.08333333333333	-6.2	p=0.65	30	16	-1
-4.08333333333333	-6.2	p=1.00	31	16	-1
-0.75	-4.2	p=0.31	32	16	-1
0.25	-4.2	p=0.00	33	16	-1
0	-0.2	X1<0.69	1	17	-1
-0.5	-1.2	X1<0.40	2	17	-1
0.5	-1.2	X2<0.40	3	17	-1
0.5	-2.2	X2<0.06	4	17	-1
1.5	-2.2	X1<0.84	5	17	-1
-1.5	-2.2	X2<0.50	6	17	-1
-0.5	-2.2	X2<0.56	7	17	-1
-3.5	-3.2	X1<0.27	8	17	-1
-2.5	-3.2	X1<0.15	9	17	-1
-1.5	-3.2	p=0.00	10	17	-1
-0.500000000000001	-3.2	X1<0.60	11	17	-1
-3	-4.2	X1<0.11	12	17	-1
-2	-4.2	X2<0.80	13	17	-1
-1.83333333333333	-5.2	p=0.00	14	17	-1
-0.833333333333334	-5.2	X2<0.88	15	17	-1
-1.33333333333333	-6.2	p=0.50	16	17	-1
-0.333333333333334	-6.2	p=0.00	17	17	-1
-5	-4.2	X1<0.09	18	17	-1
-4	-4.2	p=1.00	19	17	-1
0.5	-3.2	p=0.00	20	17	-1
1.5	-3.2	X2<0.35	21	17	-1
1	-4.2	p=0.44	22	17	-1
2	-4.2	p=0.00	23	17	-1
2.5	-3.2	X2<0.59	24	17	-1
3.5	-3.2	p=1.00	25	17	-1
-3.83333333333333	-5.2	*p=0.27	26	17	-1
-2.83333333333333	-5.2	p=0.80	27	17	-1
-5.83333333333333	-5.2	p=1.00	28	17	-1
-4.83333333333333	-5.2	X2<0.38	29	17	-1
-5.33333333333333	-6.2	p=0.65	30	17	-1
-4.33333333333333	-6.2	p=1.00	31	17	-1
-1	-4.2	p=0.31	32	17	-1
-1.66533453693773e-16	-4.2	p=0.00	33	17	-1
3	-4.2	p=1.00	34	17	-1
4	-4.2	*p=0.73	35	17	-1
0	-0.2	X1<0.69	1	18	-1
-0.5	-1.2	X1<0.40	2	18	-1
0.5	-1.2	X2<0.40	3	18	-1
0.5	-2.2	X2<0.06	4	18	-1
1.5	-2.2	X1<0.84	5	18	-1
-1.5	-2.2	X2<0.50	6	18	-1
-0.5	-2.2	X2<0.56	7	18	-1
-3.5	-3.2	X1<0.27	8	18	-1
-2.5	-3.2	X1<0.15	9	18	-1
-1.5	-3.2	p=0.00	10	18	-1
-0.500000000000001	-3.2	X1<0.60	11	18	-1
-3	-4.2	X1<0.11	12	18	-1
-2	-4.2	X2<0.80	13	18	-1
-2.25	-5.2	p=0.00	14	18	-1
-1.25	-5.2	X2<0.88	15	18	-1
-1.75	-6.2	p=0.50	16	18	-1
-0.75	-6.2	p=0.00	17	18	-1
-5	-4.2	X1<0.09	18	18	-1
-4	-4.2	p=1.00	19	18	-1
0.5	-3.2	p=0.00	20	18	-1
1.5	-3.2	X2<0.35	21	18	-1
1	-4.2	p=0.44	22	18	-1
2	-4.2	p=0.00	23	18	-1
2.5	-3.2	X2<0.59	24	18	-1
3.5	-3.2	p=1.00	25	18	-1
-4.25	-5.2	*p=0.27	26	18	-1
-3.25	-5.2	p=0.80	27	18	-1
-6.25	-5.2	p=1.00	28	18	-1
-5.25	-5.2	X2<0.38	29	18	-1
-5.75	-6.2	p=0.65	30	18	-1
-4.75	-6.2	p=1.00	31	18	-1
-1	-4.2	X1<0.46	32	18	-1
-1.66533453693773e-16	-4.2	p=0.00	33	18	-1
3	-4.2	p=1.00	34	18	-1
4	-4.2	*p=0.73	35	18	-1
-0.250000000000001	-5.2	p=0.14	36	18	-1
0.75	-5.2	p=0.50	37	18	-1
0	-0.2	X1<0.69	1	19	-1
-0.5	-1.2	X1<0.40	2	19	-1
0.5	-1.2	X2<0.40	3	19	-1
0.5	-2.2	X2<0.06	4	19	-1
1.5	-2.2	X1<0.84	5	19	-1
-1.5	-2.2	X2<0.50	6	19	-1
-0.5	-2.2	X2<0.56	7	19	-1
-3.5	-3.2	X1<0.27	8	19	-1
-2.5	-3.2	X1<0.15	9	19	-1
-1.5	-3.2	p=0.00	10	19	-1
-0.500000000000001	-3.2	X1<0.60	11	19	-1
-3	-4.2	X1<0.11	12	19	-1
-2	-4.2	X2<0.80	13	19	-1
-2.5	-5.2	p=0.00	14	19	-1
-1.5	-5.2	X2<0.88	15	19	-1
-2	-6.2	p=0.50	16	19	-1
-1	-6.2	p=0.00	17	19	-1
-5	-4.2	X1<0.09	18	19	-1
-4	-4.2	p=1.00	19	19	-1
0.5	-3.2	p=0.00	20	19	-1
1.5	-3.2	X2<0.35	21	19	-1
1	-4.2	X2<0.20	22	19	-1
2	-4.2	p=0.00	23	19	-1
2.5	-3.2	X2<0.59	24	19	-1
3.5	-3.2	p=1.00	25	19	-1
-4.5	-5.2	*p=0.27	26	19	-1
-3.5	-5.2	p=0.80	27	19	-1
-6.5	-5.2	p=1.00	28	19	-1
-5.5	-5.2	X2<0.38	29	19	-1
-6	-6.2	p=0.65	30	19	-1
-5	-6.2	p=1.00	31	19	-1
-1	-4.2	X1<0.46	32	19	-1
-1.66533453693773e-16	-4.2	p=0.00	33	19	-1
3	-4.2	p=1.00	34	19	-1
4	-4.2	*p=0.73	35	19	-1
-0.5	-5.2	p=0.14	36	19	-1
0.5	-5.2	p=0.50	37	19	-1
1.5	-5.2	p=0.62	38	19	-1
2.5	-5.2	*p=0.30	39	19	-1
0	-0.2	X1<0.69	1	20	-1
-0.5	-1.2	X1<0.40	2	20	-1
0.5	-1.2	X2<0.40	3	20	-1
0.5	-2.2	X2<0.06	4	20	-1
1.5	-2.2	X1<0.84	5	20	-1
-1.5	-2.2	X2<0.50	6	20	-1
-0.5	-2.2	X2<0.56	7	20	-1
-3.5	-3.2	X1<0.27	8	20	-1
-2.5	-3.2	X1<0.15	9	20	-1
-1.5	-3.2	p=0.00	10	20	-1
-0.500000000000001	-3.2	X1<0.60	11	20	-1
-3	-4.2	X1<0.11	12	20	-1
-2	-4.2	X2<0.80	13	20	-1
-2.5	-5.2	p=0.00	14	20	-1
-1.5	-5.2	X2<0.88	15	20	-1
-2	-6.2	p=0.50	16	20	-1
-1	-6.2	p=0.00	17	20	-1
-5	-4.2	X1<0.09	18	20	-1
-4	-4.2	p=1.00	19	20	-1
0.5	-3.2	p=0.00	20	20	-1
1.5	-3.2	X2<0.35	21	20	-1
1	-4.2	X2<0.20	22	20	-1
2	-4.2	p=0.00	23	20	-1
2.5	-3.2	X2<0.59	24	20	-1
3.5	-3.2	p=1.00	25	20	-1
-4.5	-5.2	*p=0.27	26	20	-1
-3.5	-5.2	p=0.80	27	20	-1
-6.5	-5.2	p=1.00	28	20	-1
-5.5	-5.2	X2<0.38	29	20	-1
-6	-6.2	X2<0.22	30	20	-1
-5	-6.2	p=1.00	31	20	-1
-1	-4.2	X1<0.46	32	20	-1
-1.66533453693773e-16	-4.2	p=0.00	33	20	-1
3	-4.2	p=1.00	34	20	-1
4	-4.2	*p=0.73	35	20	-1
-0.5	-5.2	p=0.14	36	20	-1
0.5	-5.2	p=0.50	37	20	-1
1.5	-5.2	p=0.62	38	20	-1
2.5	-5.2	*p=0.30	39	20	-1
-6.5	-7.2	*p=0.75	40	20	-1
-5.5	-7.2	p=0.40	41	20	-1
0	-0.2	X1<0.69	1	21	-1
-0.5	-1.2	X1<0.40	2	21	-1
0.5	-1.2	X2<0.40	3	21	-1
0.5	-2.2	X2<0.06	4	21	-1
1.5	-2.2	X1<0.84	5	21	-1
-1.5	-2.2	X2<0.50	6	21	-1
-0.5	-2.2	X2<0.56	7	21	-1
-3.5	-3.2	X1<0.27	8	21	-1
-2.5	-3.2	X1<0.15	9	21	-1
-1.5	-3.2	p=0.00	10	21	-1
-0.500000000000001	-3.2	X1<0.60	11	21	-1
-3	-4.2	X1<0.11	12	21	-1
-2	-4.2	X2<0.80	13	21	-1
-2.5	-5.2	p=0.00	14	21	-1
-1.5	-5.2	X2<0.88	15	21	-1
-2	-6.2	p=0.50	16	21	-1
-1	-6.2	p=0.00	17	21	-1
-5	-4.2	X1<0.09	18	21	-1
-4	-4.2	p=1.00	19	21	-1
0.5	-3.2	p=0.00	20	21	-1
1.5	-3.2	X2<0.35	21	21	-1
1	-4.2	X2<0.20	22	21	-1
2	-4.2	p=0.00	23	21	-1
2.5	-3.2	X2<0.59	24	21	-1
3.5	-3.2	p=1.00	25	21	-1
-4.5	-5.2	*p=0.27	26	21	-1
-3.5	-5.2	p=0.80	27	21	-1
-6.5	-5.2	p=1.00	28	21	-1
-5.5	-5.2	X2<0.38	29	21	-1
-6	-6.2	X2<0.22	30	21	-1
-5	-6.2	p=1.00	31	21	-1
-1	-4.2	X1<0.46	32	21	-1
-1.66533453693773e-16	-4.2	p=0.00	33	21	-1
3	-4.2	p=1.00	34	21	-1
4	-4.2	*p=0.73	35	21	-1
-0.5	-5.2	p=0.14	36	21	-1
0.5	-5.2	p=0.50	37	21	-1
1.5	-5.2	p=0.62	38	21	-1
2.5	-5.2	*p=0.30	39	21	-1
-6.5	-7.2	*X1<0.15	40	21	-1
-5.5	-7.2	p=0.40	41	21	-1
-7	-8.2	p=0.60	42	21	-1
-6	-8.2	p=0.86	43	21	-1
0	-0.2	X1<0.69	1	22	-1
-0.5	-1.2	X1<0.40	2	22	-1
0.5	-1.2	X2<0.40	3	22	-1
0.5	-2.2	X2<0.06	4	22	-1
1.5	-2.2	X1<0.84	5	22	-1
-1.5	-2.2	X2<0.50	6	22	-1
-0.5	-2.2	X2<0.56	7	22	-1
-3.5	-3.2	X1<0.27	8	22	-1
-2.5	-3.2	X1<0.15	9	22	-1
-1.5	-3.2	p=0.00	10	22	-1
-0.500000000000001	-3.2	X1<0.60	11	22	-1
-3	-4.2	X1<0.11	12	22	-1
-2	-4.2	X2<0.80	13	22	-1
-2.5	-5.2	p=0.00	14	22	-1
-1.5	-5.2	X2<0.88	15	22	-1
-2	-6.2	p=0.50	16	22	-1
-1	-6.2	p=0.00	17	22	-1
-5	-4.2	X1<0.09	18	22	-1
-4	-4.2	p=1.00	19	22	-1
0.5	-3.2	p=0.00	20	22	-1
1.5	-3.2	X2<0.35	21	22	-1
1	-4.2	X2<0.20	22	22	-1
2	-4.2	p=0.00	23	22	-1
2.5	-3.2	X2<0.59	24	22	-1
3.5	-3.2	p=1.00	25	22	-1
-4.5	-5.2	*X1<0.03	26	22	-1
-3.5	-5.2	p=0.80	27	22	-1
-6.5	-5.2	p=1.00	28	22	-1
-5.5	-5.2	X2<0.38	29	22	-1
-6.5	-6.2	X2<0.22	30	22	-1
-5.5	-6.2	p=1.00	31	22	-1
-1	-4.2	X1<0.46	32	22	-1
-1.66533453693773e-16	-4.2	p=0.00	33	22	-1
3	-4.2	p=1.00	34	22	-1
4	-4.2	*p=0.73	35	22	-1
-0.5	-5.2	p=0.14	36	22	-1
0.5	-5.2	p=0.50	37	22	-1
1.5	-5.2	p=0.62	38	22	-1
2.5	-5.2	*p=0.30	39	22	-1
-7	-7.2	*X1<0.15	40	22	-1
-6	-7.2	p=0.40	41	22	-1
-7.5	-8.2	p=0.60	42	22	-1
-6.5	-8.2	p=0.86	43	22	-1
-4.5	-6.2	p=0.40	44	22	-1
-3.5	-6.2	p=0.17	45	22	-1
0	-0.2	X1<0.69	1	23	-1
-0.5	-1.2	X1<0.40	2	23	-1
0.5	-1.2	X2<0.40	3	23	-1
0.5	-2.2	X2<0.06	4	23	-1
1.5	-2.2	X1<0.84	5	23	-1
-1.5	-2.2	X2<0.50	6	23	-1
-0.5	-2.2	X2<0.56	7	23	-1
-3.5	-3.2	X1<0.27	8	23	-1
-2.5	-3.2	X1<0.15	9	23	-1
-1.5	-3.2	p=0.00	10	23	-1
-0.500000000000001	-3.2	X1<0.60	11	23	-1
-3	-4.2	X1<0.11	12	23	-1
-2	-4.2	X2<0.80	13	23	-1
-2.5	-5.2	p=0.00	14	23	-1
-1.5	-5.2	X2<0.88	15	23	-1
-2	-6.2	p=0.50	16	23	-1
-1	-6.2	p=0.00	17	23	-1
-5	-4.2	X1<0.09	18	23	-1
-4	-4.2	p=1.00	19	23	-1
0.5	-3.2	p=0.00	20	23	-1
1.5	-3.2	X2<0.35	21	23	-1
1	-4.2	X2<0.20	22	23	-1
2	-4.2	p=0.00	23	23	-1
2.5	-3.2	X2<0.59	24	23	-1
3.5	-3.2	p=1.00	25	23	-1
-4.5	-5.2	*X1<0.03	26	23	-1
-3.5	-5.2	p=0.80	27	23	-1
-6.5	-5.2	p=1.00	28	23	-1
-5.5	-5.2	X2<0.38	29	23	-1
-6.5	-6.2	X2<0.22	30	23	-1
-5.5	-6.2	p=1.00	31	23	-1
-1	-4.2	X1<0.46	32	23	-1
-1.66533453693773e-16	-4.2	p=0.00	33	23	-1
3	-4.2	p=1.00	34	23	-1
4	-4.2	*X1<0.79	35	23	-1
-0.5	-5.2	p=0.14	36	23	-1
0.5	-5.2	p=0.50	37	23	-1
1.5	-5.2	p=0.62	38	23	-1
2.5	-5.2	*p=0.30	39	23	-1
-7	-7.2	*X1<0.15	40	23	-1
-6	-7.2	p=0.40	41	23	-1
-7.5	-8.2	p=0.60	42	23	-1
-6.5	-8.2	p=0.86	43	23	-1
-4.5	-6.2	p=0.40	44	23	-1
-3.5	-6.2	p=0.17	45	23	-1
3.5	-5.2	p=0.83	46	23	-1
4.5	-5.2	p=0.60	47	23	-1
0	-0.2	X1<0.69	1	24	-1
-0.5	-1.2	X1<0.40	2	24	-1
0.5	-1.2	X2<0.40	3	24	-1
0.5	-2.2	X2<0.06	4	24	-1
1.5	-2.2	X1<0.84	5	24	-1
-1.5	-2.2	X2<0.50	6	24	-1
-0.5	-2.2	X2<0.56	7	24	-1
-3.5	-3.2	X1<0.27	8	24	-1
-2.5	-3.2	X1<0.15	9	24	-1
-1.5	-3.2	p=0.00	10	24	-1
-0.500000000000001	-3.2	X1<0.60	11	24	-1
-3	-4.2	X1<0.11	12	24	-1
-2	-4.2	X2<0.80	13	24	-1
-2.5	-5.2	p=0.00	14	24	-1
-1.5	-5.2	X2<0.88	15	24	-1
-2	-6.2	p=0.50	16	24	-1
-1	-6.2	p=0.00	17	24	-1
-5	-4.2	X1<0.09	18	24	-1
-4	-4.2	p=1.00	19	24	-1
0.5	-3.2	p=0.00	20	24	-1
1.5	-3.2	X2<0.35	21	24	-1
1	-4.2	X2<0.20	22	24	-1
2	-4.2	p=0.00	23	24	-1
2.5	-3.2	X2<0.59	24	24	-1
3.5	-3.2	p=1.00	25	24	-1
-4.5	-5.2	*X1<0.03	26	24	-1
-3.5	-5.2	p=0.80	27	24	-1
-6.5	-5.2	p=1.00	28	24	-1
-5.5	-5.2	X2<0.38	29	24	-1
